"","대분류코드","중분류코드","소분류코드","세분류코드","세세분류코드","대분류명","중분류명","소분류명","세분류명","세세분류명","n"
"1","*",49,5,0,0,NA,NA,NA,NA,NA,1
"2","*",50,1,1,1,NA,NA,NA,NA,NA,2
"3","*",50,1,2,1,NA,NA,NA,NA,NA,1
"4","*",50,1,2,2,NA,NA,NA,NA,NA,1
"5","*",50,1,3,0,NA,NA,NA,NA,NA,1
"6","*",50,2,0,2,NA,NA,NA,NA,NA,2
"7","*",51,2,0,0,NA,NA,NA,NA,NA,1
"8","*",52,9,2,1,NA,NA,NA,NA,NA,2
"9","*",62,0,2,1,NA,NA,NA,NA,NA,1
"10","*",76,1,1,0,NA,NA,NA,NA,NA,2
"11","B",6,1,0,0,"광업(05~08)","금속 광업","철 광업","철 광업","철 광업",1
"12","B",7,1,2,1,"광업(05~08)","비금속광물 광업; 연료용 제외","토사석 광업","석재, 쇄석 및 모래, 자갈 채취업","건설용 석재 채굴 및 쇄석 생산업",35
"13","B",7,1,2,2,"광업(05~08)","비금속광물 광업; 연료용 제외","토사석 광업","석재, 쇄석 및 모래, 자갈 채취업","모래 및 자갈 채취업",6
"14","B",7,2,2,0,"광업(05~08)","비금속광물 광업; 연료용 제외","기타 비금속광물 광업","천일염 생산 및 암염 채취업","천일염 생산 및 암염 채취업",1
"15","C",10,1,1,1,"제조업(10~34)","식료품 제조업","도축, 육류 가공 및 저장 처리업","도축업","육류 도축업(가금류 제외)",28
"16","C",10,1,1,2,"제조업(10~34)","식료품 제조업","도축, 육류 가공 및 저장 처리업","도축업","가금류 도축업",22
"17","C",10,1,2,1,"제조업(10~34)","식료품 제조업","도축, 육류 가공 및 저장 처리업","육류 가공 및 저장 처리업","가금류 가공 및 저장 처리업",92
"18","C",10,1,2,2,"제조업(10~34)","식료품 제조업","도축, 육류 가공 및 저장 처리업","육류 가공 및 저장 처리업","육류 포장육 및 냉동육 가공업 (가금류 제외)",139
"19","C",10,1,2,9,"제조업(10~34)","식료품 제조업","도축, 육류 가공 및 저장 처리업","육류 가공 및 저장 처리업","육류 기타 가공 및 저장처리업 (가금류 제외)",108
"20","C",10,2,1,1,"제조업(10~34)","식료품 제조업","수산물 가공 및 저장 처리업","수산동물 가공 및 저장 처리업","수산동물 훈제, 조리 및 유사 조제식품 제조업",20
"21","C",10,2,1,2,"제조업(10~34)","식료품 제조업","수산물 가공 및 저장 처리업","수산동물 가공 및 저장 처리업","수산동물 건조 및 염장품 제조업",10
"22","C",10,2,1,3,"제조업(10~34)","식료품 제조업","수산물 가공 및 저장 처리업","수산동물 가공 및 저장 처리업","수산동물 냉동품 제조업",15
"23","C",10,2,1,9,"제조업(10~34)","식료품 제조업","수산물 가공 및 저장 처리업","수산동물 가공 및 저장 처리업","기타 수산동물 가공 및 저장 처리업",10
"24","C",10,2,2,0,"제조업(10~34)","식료품 제조업","수산물 가공 및 저장 처리업","수산식물 가공 및 저장 처리업","수산식물 가공 및 저장 처리업",31
"25","C",10,3,0,1,"제조업(10~34)","식료품 제조업","과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업","김치류 제조업",46
"26","C",10,3,0,2,"제조업(10~34)","식료품 제조업","과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업","과실 및 그 외 채소 절임식품 제조업",48
"27","C",10,3,0,9,"제조업(10~34)","식료품 제조업","과실, 채소 가공 및 저장 처리업","과실, 채소 가공 및 저장 처리업","기타 과실ㆍ채소 가공 및 저장 처리업",66
"28","C",10,4,0,1,"제조업(10~34)","식료품 제조업","동물성 및 식물성 유지 제조업","동물성 및 식물성 유지 제조업","동물성 유지 제조업",5
"29","C",10,4,0,2,"제조업(10~34)","식료품 제조업","동물성 및 식물성 유지 제조업","동물성 및 식물성 유지 제조업","식물성 유지 제조업",9
"30","C",10,4,0,3,"제조업(10~34)","식료품 제조업","동물성 및 식물성 유지 제조업","동물성 및 식물성 유지 제조업","식용 정제유 및 가공유 제조업",6
"31","C",10,5,0,1,"제조업(10~34)","식료품 제조업","낙농제품 및 식용빙과류 제조업","낙농제품 및 식용빙과류 제조업","액상시유 및 기타 낙농제품 제조업",28
"32","C",10,5,0,2,"제조업(10~34)","식료품 제조업","낙농제품 및 식용빙과류 제조업","낙농제품 및 식용빙과류 제조업","아이스크림 및 기타 식용빙과류 제조업",10
"33","C",10,6,1,1,"제조업(10~34)","식료품 제조업","곡물가공품, 전분 및 전분제품 제조업","곡물 가공품 제조업","곡물 도정업",15
"34","C",10,6,1,2,"제조업(10~34)","식료품 제조업","곡물가공품, 전분 및 전분제품 제조업","곡물 가공품 제조업","곡물 제분업",21
"35","C",10,6,1,3,"제조업(10~34)","식료품 제조업","곡물가공품, 전분 및 전분제품 제조업","곡물 가공품 제조업","곡물 혼합분말 및 반죽 제조업",38
"36","C",10,6,1,9,"제조업(10~34)","식료품 제조업","곡물가공품, 전분 및 전분제품 제조업","곡물 가공품 제조업","기타 곡물 가공품 제조업",27
"37","C",10,6,2,0,"제조업(10~34)","식료품 제조업","곡물가공품, 전분 및 전분제품 제조업","전분제품 및 당류 제조업","전분제품 및 당류 제조업",11
"38","C",10,7,1,1,"제조업(10~34)","식료품 제조업","기타 식품 제조업","떡, 빵 및 과자류 제조업","떡류 제조업",53
"39","C",10,7,1,2,"제조업(10~34)","식료품 제조업","기타 식품 제조업","떡, 빵 및 과자류 제조업","빵류 제조업",127
"40","C",10,7,1,3,"제조업(10~34)","식료품 제조업","기타 식품 제조업","떡, 빵 및 과자류 제조업","과자류 및 코코아 제품 제조업",95
"41","C",10,7,3,0,"제조업(10~34)","식료품 제조업","기타 식품 제조업","면류, 마카로니 및 유사식품 제조업","면류, 마카로니 및 유사식품 제조업",38
"42","C",10,7,4,1,"제조업(10~34)","식료품 제조업","기타 식품 제조업","조미료 및 식품 첨가물 제조업","식초, 발효 및 화학 조미료 제조업",3
"43","C",10,7,4,2,"제조업(10~34)","식료품 제조업","기타 식품 제조업","조미료 및 식품 첨가물 제조업","천연 및 혼합조제 조미료 제조업",126
"44","C",10,7,4,3,"제조업(10~34)","식료품 제조업","기타 식품 제조업","조미료 및 식품 첨가물 제조업","장류 제조업",15
"45","C",10,7,4,9,"제조업(10~34)","식료품 제조업","기타 식품 제조업","조미료 및 식품 첨가물 제조업","기타 식품 첨가물 제조업",25
