"행정구역시도코드","자산총금액","종사자수_조사_총소계","산업대분류코드","주사업_산업중분류코드","주사업_산업소분류코드","주사업_산업세분류코드","주사업_산업세세분류코드"
11,,1,C,14,1,9,1
11,,**,C,10,4,0,2
11,,10,C,10,7,1,2
11,,10,C,10,7,4,2
11,,10,C,10,7,5,1
11,,10,C,10,7,5,1
11,,10,C,13,1,0,4
11,,10,C,13,2,1,3
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,2,2,2
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,3,0,0
11,,10,C,13,4,0,2
11,,10,C,13,4,0,3
11,,10,C,13,4,0,3
11,,10,C,13,4,0,3
11,,10,C,13,4,0,3
11,,10,C,13,4,0,3
11,,10,C,13,4,0,3
11,,10,C,13,4,0,9
11,,10,C,13,9,9,1
11,,10,C,13,9,9,1
11,,**,C,13,9,9,4
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,1
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
11,,10,C,14,1,1,2
