"기업체수","행정구역시도코드","산업중분류코드","산업소분류코드","산업세분류코드","산업세세분류코드","운수업_산업분류코드","운수업_업종구분코드","매출총액","종사자수_조사_총소계"
102.087,24,49,3,0,3,49303,13,10020,1
102.087,24,49,3,0,3,49303,13,10800,1
102.087,24,49,3,0,3,49303,13,10920,1
102.087,24,49,3,0,3,49303,13,11880,1
102.087,24,49,3,0,3,49303,13,1320,1
102.087,24,49,3,0,3,49303,13,1800,1
102.087,24,49,3,0,3,49303,13,3840,1
102.087,24,49,3,0,3,49303,13,4800,1
102.087,24,49,3,0,3,49303,13,5520,1
102.087,24,49,3,0,3,49303,13,5900,1
102.087,24,49,3,0,3,49303,13,6960,1
102.087,24,49,3,0,3,49303,13,7000,1
102.087,24,49,3,0,3,49303,13,7008,1
102.087,24,49,3,0,3,49303,13,7200,1
102.087,24,49,3,0,3,49303,13,7200,1
102.087,24,49,3,0,3,49303,13,7800,1
102.087,24,49,3,0,3,49303,13,7800,1
102.087,24,49,3,0,3,49303,13,8400,1
102.087,24,49,3,0,3,49303,13,8700,1
102.087,24,49,3,0,3,49303,13,9000,1
102.087,24,49,3,0,3,49303,13,9000,1
102.087,24,49,3,0,3,49303,13,9300,1
102.087,24,49,3,0,3,49303,13,9960,1
11.12,29,49,2,3,1,49231,7,2056,1
11.12,29,49,2,3,1,49231,7,2472,1
11.12,29,49,2,3,1,49231,7,2618,1
11.12,29,49,2,3,1,49231,7,2793,1
11.12,29,49,2,3,1,49231,7,2799,1
11.12,29,49,2,3,1,49231,7,2972,1
11.12,29,49,2,3,1,49231,7,2974,1
11.12,29,49,2,3,1,49231,7,3016,1
11.12,29,49,2,3,1,49231,7,3147,1
11.12,29,49,2,3,1,49231,7,3200,1
11.12,29,49,2,3,1,49231,7,3237,1
11.12,29,49,2,3,1,49231,7,3699,1
11.12,29,49,2,3,1,49231,7,3873,1
11.12,29,49,2,3,1,49231,7,4022,1
11.12,29,49,2,3,1,49231,7,4312,1
11.12,29,49,2,3,1,49231,7,4541,1
11.12,29,49,2,3,1,49231,7,4889,1
11.12,29,49,2,3,1,49231,7,5618,1
11.12,29,49,2,3,1,49231,7,5951,1
11.12,29,49,2,3,1,49231,7,6080,1
11.12,29,49,2,3,1,49231,7,6716,1
11.12,29,49,2,3,1,49231,7,6774,1
11.12,29,49,2,3,1,49231,7,6793,1
11.12,29,49,2,3,1,49231,7,7059,1
11.12,29,49,2,3,1,49231,7,7170,1
134.368,25,49,3,0,3,49303,13,10600,1
134.368,25,49,3,0,3,49303,13,11000,1
134.368,25,49,3,0,3,49303,13,11300,1
134.368,25,49,3,0,3,49303,13,12200,1
134.368,25,49,3,0,3,49303,13,14300,1
134.368,25,49,3,0,3,49303,13,3900,1
134.368,25,49,3,0,3,49303,13,4550,1
134.368,25,49,3,0,3,49303,13,5200,1
134.368,25,49,3,0,3,49303,13,5680,1
134.368,25,49,3,0,3,49303,13,6200,1
134.368,25,49,3,0,3,49303,13,6500,1
134.368,25,49,3,0,3,49303,13,6500,1
134.368,25,49,3,0,3,49303,13,8900,1
134.368,25,49,3,0,3,49303,13,9100,1
134.368,25,49,3,0,3,49303,13,9150,1
134.368,25,49,3,0,3,49303,13,9600,1
134.368,25,49,3,0,3,49303,13,9600,1
134.368,25,49,3,0,3,49303,13,9800,1
134.368,25,49,3,0,3,49303,13,9800,1
1364.694,11,49,2,3,1,49231,7,1150,1
1364.694,11,49,2,3,1,49231,7,1500,1
1364.694,11,49,2,3,1,49231,7,1800,1
1364.694,11,49,2,3,1,49231,7,1800,1
1364.694,11,49,2,3,1,49231,7,1800,1
1364.694,11,49,2,3,1,49231,7,2000,1
1364.694,11,49,2,3,1,49231,7,2400,1
1364.694,11,49,2,3,1,49231,7,2400,1
1364.694,11,49,2,3,1,49231,7,3000,1
1364.694,11,49,2,3,1,49231,7,3000,1
1364.694,11,49,2,3,1,49231,7,3000,1
1364.694,11,49,2,3,1,49231,7,3000,1
1364.694,11,49,2,3,1,49231,7,3170,1
1364.694,11,49,2,3,1,49231,7,3360,1
1364.694,11,49,2,3,1,49231,7,3468,1
1364.694,11,49,2,3,1,49231,7,3600,1
1364.694,11,49,2,3,1,49231,7,3600,1
1364.694,11,49,2,3,1,49231,7,3960,1
1364.694,11,49,2,3,1,49231,7,4200,1
1364.694,11,49,2,3,1,49231,7,4200,1
1364.694,11,49,2,3,1,49231,7,4200,1
1364.694,11,49,2,3,1,49231,7,4300,1
1364.694,11,49,2,3,1,49231,7,4500,1
1364.694,11,49,2,3,1,49231,7,4557,1
1364.694,11,49,2,3,1,49231,7,4560,1
1364.694,11,49,2,3,1,49231,7,4680,1
1364.694,11,49,2,3,1,49231,7,4900,1
1364.694,11,49,2,3,1,49231,7,5200,1
1364.694,11,49,2,3,1,49231,7,5432,1
1364.694,11,49,2,3,1,49231,7,5700,1
1364.694,11,49,2,3,1,49231,7,5990,1
1364.694,11,49,2,3,1,49231,7,6300,1
1364.694,11,49,2,3,1,49231,7,7000,1
1364.694,11,49,2,3,1,49231,7,7200,1
1364.694,11,49,2,3,1,49231,7,7260,1
1364.694,11,49,2,3,1,49231,7,7870,1
137.875,35,49,3,0,2,49302,12,1130,1
137.875,35,49,3,0,2,49302,12,1327,1
137.875,35,49,3,0,2,49302,12,1369,1
137.875,35,49,3,0,2,49302,12,1470,1
137.875,35,49,3,0,2,49302,12,1560,1
137.875,35,49,3,0,2,49302,12,1577,1
137.875,35,49,3,0,2,49302,12,1620,1
137.875,35,49,3,0,2,49302,12,1630,1
137.875,35,49,3,0,2,49302,12,1731,1
137.875,35,49,3,0,2,49302,12,1910,1
137.875,35,49,3,0,2,49302,12,1975,1
137.875,35,49,3,0,2,49302,12,1999,1
137.875,35,49,3,0,2,49302,12,2046,1
137.875,35,49,3,0,2,49302,12,2144,1
137.875,35,49,3,0,2,49302,12,2151,1
137.875,35,49,3,0,2,49302,12,2180,1
137.875,35,49,3,0,2,49302,12,2262,1
137.875,35,49,3,0,2,49302,12,2360,1
137.875,35,49,3,0,2,49302,12,2482,1
137.875,35,49,3,0,2,49302,12,2680,1
137.875,35,49,3,0,2,49302,12,3600,1
137.875,35,49,3,0,2,49302,12,460,1
