"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",728585,938560,NA,NA,NA,NA,NA,NA,NA,NA
"2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",33092,481250,1176662,NA,NA,NA,NA,NA,NA,NA
"4",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",381887,854996,1214898,1296769,1449732,NA,NA,NA,NA,NA
"7",405780,471132,805486,1086891,NA,NA,NA,NA,NA,NA
"8",58983,718192,NA,NA,NA,NA,NA,NA,NA,NA
"9",604259,866492,1082297,1314408,NA,NA,NA,NA,NA,NA
"10",209632,217942,639865,810711,1348923,NA,NA,NA,NA,NA
"11",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1291074,1345988,NA,NA,NA,NA,NA,NA,NA,NA
"13",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1332596,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",394432,1464054,NA,NA,NA,NA,NA,NA,NA,NA
"19",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",651153,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",465309,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",463768,1123985,NA,NA,NA,NA,NA,NA,NA,NA
"26",371467,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",129733,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",420244,583326,1127756,NA,NA,NA,NA,NA,NA,NA
"33",817613,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",212193,730420,933361,NA,NA,NA,NA,NA,NA,NA
"41",67938,1040241,1394871,NA,NA,NA,NA,NA,NA,NA
"42",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",487403,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1128383,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",914214,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",176484,215159,271628,357526,769319,772900,944317,1426765,NA,NA
"52",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",87847,311705,513983,1247781,1455625,1460946,NA,NA,NA,NA
"61",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",901320,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",515711,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1196962,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",577693,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",297810,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1418055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1320758,1426157,NA,NA,NA,NA,NA,NA,NA,NA
"77",693211,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",440305,1459810,NA,NA,NA,NA,NA,NA,NA,NA
"79",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",52648,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",156284,904268,913523,933589,1147669,NA,NA,NA,NA,NA
"84",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",474386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",597962,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",542694,657470,NA,NA,NA,NA,NA,NA,NA,NA
"90",689500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",931482,1246351,NA,NA,NA,NA,NA,NA,NA,NA
"92",762306,1173676,NA,NA,NA,NA,NA,NA,NA,NA
"93",526739,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1150350,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",852880,1205501,1469560,NA,NA,NA,NA,NA,NA,NA
"96",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",588741,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",1053452,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",184327,1140140,NA,NA,NA,NA,NA,NA,NA,NA
"102",271561,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",560994,657726,665922,683329,940638,NA,NA,NA,NA,NA
"105",135767,329238,NA,NA,NA,NA,NA,NA,NA,NA
"106",912798,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",571967,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",153023,867942,NA,NA,NA,NA,NA,NA,NA,NA
"109",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",615595,771503,NA,NA,NA,NA,NA,NA,NA,NA
"113",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",590269,1418488,NA,NA,NA,NA,NA,NA,NA,NA
"115",315638,666313,875280,896242,1190457,1226874,1262351,NA,NA,NA
"116",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",96160,191626,228476,356268,719964,915083,939282,1295403,NA,NA
"119",623659,972253,993072,NA,NA,NA,NA,NA,NA,NA
"120",1414181,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",812725,893387,1334427,NA,NA,NA,NA,NA,NA,NA
