"기업체수","행정구역시도코드","산업대분류코드","산업중분류코드","산업소분류코드","산업세분류코드","산업세세분류코드","운수업_산업분류코드","운수업_업종구분코드","자본금","종사자수_조사_총소계","매출총액"
*,11,*,49,1,0,1,*****,*,******,***,******
1,11,H,49,2,1,1,49211,3,1030,140,14045
1,11,H,49,2,1,1,49211,3,23275823,16577,1768374
1,11,H,49,2,1,1,49211,3,74640,703,89803
1,11,H,49,2,1,2,49212,4,,14,742
1,11,H,49,2,1,2,49212,4,,25,1917
1,11,H,49,2,1,2,49212,4,,27,1547
1,11,H,49,2,1,2,49212,4,,9,386
1,11,H,49,2,1,2,49212,4,100,1,0
1,11,H,49,2,1,2,49212,4,100,11,835
1,11,H,49,2,1,2,49212,4,100,15,1335
1,11,H,49,2,1,2,49212,4,100,18,1247
1,11,H,49,2,1,2,49212,4,100,18,1392
1,11,H,49,2,1,2,49212,4,100,21,1494
1,11,H,49,2,1,2,49212,4,100,22,1229
1,11,H,49,2,1,2,49212,4,100,23,2144
1,11,H,49,2,1,2,49212,4,100,24,1583
1,11,H,49,2,1,2,49212,4,100,24,2655
1,11,H,49,2,1,2,49212,4,100,25,1392
1,11,H,49,2,1,2,49212,4,100,26,2081
1,11,H,49,2,1,2,49212,4,100,36,2386
1,11,H,49,2,1,2,49212,4,100,54,4196
1,11,H,49,2,1,2,49212,4,10060,995,103412
1,11,H,49,2,1,2,49212,4,101,18,1129
1,11,H,49,2,1,2,49212,4,102,135,12036
1,11,H,49,2,1,2,49212,4,1025,184,16356
1,11,H,49,2,1,2,49212,4,110,18,1256
1,11,H,49,2,1,2,49212,4,1100,320,30645
1,11,H,49,2,1,2,49212,4,113,117,9412
1,11,H,49,2,1,2,49212,4,1135,75,6472
1,11,H,49,2,1,2,49212,4,114,22,1287
1,11,H,49,2,1,2,49212,4,1149,248,22448
1,11,H,49,2,1,2,49212,4,120,26,2000
1,11,H,49,2,1,2,49212,4,1252,217,19574
1,11,H,49,2,1,2,49212,4,1322,270,25626
1,11,H,49,2,1,2,49212,4,1350,365,38366
1,11,H,49,2,1,2,49212,4,138,205,21934
1,11,H,49,2,1,2,49212,4,140,238,22697
1,11,H,49,2,1,2,49212,4,150,22,1565
1,11,H,49,2,1,2,49212,4,150,31,2311
1,11,H,49,2,1,2,49212,4,150,49,3419
1,11,H,49,2,1,2,49212,4,1500,350,31065
1,11,H,49,2,1,2,49212,4,1500,368,32350
1,11,H,49,2,1,2,49212,4,1525,140,12554
1,11,H,49,2,1,2,49212,4,1530,532,45889
1,11,H,49,2,1,2,49212,4,160,19,1235
1,11,H,49,2,1,2,49212,4,1628,316,28756
1,11,H,49,2,1,2,49212,4,1688,568,51639
1,11,H,49,2,1,2,49212,4,1750,233,22372
1,11,H,49,2,1,2,49212,4,200,15,1119
1,11,H,49,2,1,2,49212,4,200,16,1031
1,11,H,49,2,1,2,49212,4,200,22,1463
1,11,H,49,2,1,2,49212,4,200,22,1659
1,11,H,49,2,1,2,49212,4,200,24,1363
1,11,H,49,2,1,2,49212,4,200,455,42367
1,11,H,49,2,1,2,49212,4,200,61,4718
1,11,H,49,2,1,2,49212,4,210,287,26930
1,11,H,49,2,1,2,49212,4,2100,289,24850
1,11,H,49,2,1,2,49212,4,2160,350,31463
1,11,H,49,2,1,2,49212,4,2225,377,36320
1,11,H,49,2,1,2,49212,4,2309,547,41414
1,11,H,49,2,1,2,49212,4,2340,535,50074
1,11,H,49,2,1,2,49212,4,243,206,19248
1,11,H,49,2,1,2,49212,4,250,12,947
1,11,H,49,2,1,2,49212,4,250,18,1018
1,11,H,49,2,1,2,49212,4,250,19,780
1,11,H,49,2,1,2,49212,4,2500,1242,106721
1,11,H,49,2,1,2,49212,4,2500,328,28487
1,11,H,49,2,1,2,49212,4,2574,434,38258
1,11,H,49,2,1,2,49212,4,259,12,1445
1,11,H,49,2,1,2,49212,4,260,215,19001
1,11,H,49,2,1,2,49212,4,2600,401,35346
1,11,H,49,2,1,2,49212,4,267,166,15337
1,11,H,49,2,1,2,49212,4,278,290,28776
1,11,H,49,2,1,2,49212,4,290,231,22281
1,11,H,49,2,1,2,49212,4,2919,624,54410
1,11,H,49,2,1,2,49212,4,2950,345,31094
1,11,H,49,2,1,2,49212,4,300,140,11529
1,11,H,49,2,1,2,49212,4,300,20,1497
1,11,H,49,2,1,2,49212,4,300,7,664
1,11,H,49,2,1,2,49212,4,3000,124,10065
1,11,H,49,2,1,2,49212,4,3000,455,33592
1,11,H,49,2,1,2,49212,4,3063,331,30419
1,11,H,49,2,1,2,49212,4,307,561,55291
1,11,H,49,2,1,2,49212,4,313,490,46542
1,11,H,49,2,1,2,49212,4,335,23,1242
1,11,H,49,2,1,2,49212,4,343,207,19733
1,11,H,49,2,1,2,49212,4,3549,669,55573
1,11,H,49,2,1,2,49212,4,367,211,19849
1,11,H,49,2,1,2,49212,4,40,14,931
1,11,H,49,2,1,2,49212,4,400,43,3372
1,11,H,49,2,1,2,49212,4,425,238,21235
1,11,H,49,2,1,2,49212,4,4268,513,46316
1,11,H,49,2,1,2,49212,4,450,292,24569
1,11,H,49,2,1,2,49212,4,460,292,37334
1,11,H,49,2,1,2,49212,4,470,26,1508
1,11,H,49,2,1,2,49212,4,4780,347,32579
1,11,H,49,2,1,2,49212,4,4959,443,41257
1,11,H,49,2,1,2,49212,4,50,10,724
1,11,H,49,2,1,2,49212,4,50,11,1228
1,11,H,49,2,1,2,49212,4,50,11,1424
1,11,H,49,2,1,2,49212,4,50,11,938
1,11,H,49,2,1,2,49212,4,50,12,1052
1,11,H,49,2,1,2,49212,4,50,13,989
1,11,H,49,2,1,2,49212,4,50,14,1047
1,11,H,49,2,1,2,49212,4,50,14,905
1,11,H,49,2,1,2,49212,4,50,15,1250
1,11,H,49,2,1,2,49212,4,50,16,1505
1,11,H,49,2,1,2,49212,4,50,16,916
1,11,H,49,2,1,2,49212,4,50,17,1038
1,11,H,49,2,1,2,49212,4,50,17,1059
1,11,H,49,2,1,2,49212,4,50,17,1077
1,11,H,49,2,1,2,49212,4,50,17,1312
1,11,H,49,2,1,2,49212,4,50,17,1529
1,11,H,49,2,1,2,49212,4,50,17,1855
1,11,H,49,2,1,2,49212,4,50,17,979
1,11,H,49,2,1,2,49212,4,50,17,986
1,11,H,49,2,1,2,49212,4,50,18,1080
1,11,H,49,2,1,2,49212,4,50,18,1081
1,11,H,49,2,1,2,49212,4,50,18,1218
1,11,H,49,2,1,2,49212,4,50,18,1290
1,11,H,49,2,1,2,49212,4,50,18,1734
1,11,H,49,2,1,2,49212,4,50,18,1983
1,11,H,49,2,1,2,49212,4,50,18,2149
1,11,H,49,2,1,2,49212,4,50,18,740
1,11,H,49,2,1,2,49212,4,50,18,989
1,11,H,49,2,1,2,49212,4,50,19,1186
1,11,H,49,2,1,2,49212,4,50,19,1487
1,11,H,49,2,1,2,49212,4,50,19,1533
1,11,H,49,2,1,2,49212,4,50,19,386
1,11,H,49,2,1,2,49212,4,50,19,884
1,11,H,49,2,1,2,49212,4,50,20,1235
1,11,H,49,2,1,2,49212,4,50,20,1255
1,11,H,49,2,1,2,49212,4,50,20,1366
1,11,H,49,2,1,2,49212,4,50,20,1415
1,11,H,49,2,1,2,49212,4,50,20,1585
1,11,H,49,2,1,2,49212,4,50,20,1791
1,11,H,49,2,1,2,49212,4,50,20,957
1,11,H,49,2,1,2,49212,4,50,21,1107
1,11,H,49,2,1,2,49212,4,50,21,1199
1,11,H,49,2,1,2,49212,4,50,21,1394
1,11,H,49,2,1,2,49212,4,50,21,1483
1,11,H,49,2,1,2,49212,4,50,21,1672
1,11,H,49,2,1,2,49212,4,50,21,1760
1,11,H,49,2,1,2,49212,4,50,21,1781
1,11,H,49,2,1,2,49212,4,50,22,1299
1,11,H,49,2,1,2,49212,4,50,22,1330
1,11,H,49,2,1,2,49212,4,50,22,1384
1,11,H,49,2,1,2,49212,4,50,22,2493
1,11,H,49,2,1,2,49212,4,50,23,1336
1,11,H,49,2,1,2,49212,4,50,23,1608
1,11,H,49,2,1,2,49212,4,50,23,1638
1,11,H,49,2,1,2,49212,4,50,23,1731
1,11,H,49,2,1,2,49212,4,50,23,1742
1,11,H,49,2,1,2,49212,4,50,24,1588
1,11,H,49,2,1,2,49212,4,50,24,1704
1,11,H,49,2,1,2,49212,4,50,24,1775
1,11,H,49,2,1,2,49212,4,50,24,2564
